"filename", "language", "JavaScript", "PHP", "XML", "CSS", "SCSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_float.scss", "SCSS", 0, 0, 0, 0, 12, 0, 1, 2, 15
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_forms.scss", "SCSS", 0, 0, 0, 0, 141, 0, 17, 21, 179
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_gradients.scss", "SCSS", 0, 0, 0, 0, 34, 0, 7, 5, 46
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_grid-framework.scss", "SCSS", 0, 0, 0, 0, 60, 0, 8, 13, 81
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_grid.scss", "SCSS", 0, 0, 0, 0, 46, 0, 15, 9, 70
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_hover.scss", "SCSS", 0, 0, 0, 0, 23, 0, 10, 5, 38
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_image.scss", "SCSS", 0, 0, 0, 0, 13, 0, 16, 8, 37
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_list-group.scss", "SCSS", 0, 0, 0, 0, 17, 0, 1, 4, 22
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_lists.scss", "SCSS", 0, 0, 0, 0, 4, 0, 2, 2, 8
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_nav-divider.scss", "SCSS", 0, 0, 0, 0, 7, 0, 3, 2, 12
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_pagination.scss", "SCSS", 0, 0, 0, 0, 19, 0, 1, 3, 23
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_reset-text.scss", "SCSS", 0, 0, 0, 0, 16, 0, 1, 1, 18
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_resize.scss", "SCSS", 0, 0, 0, 0, 4, 0, 1, 2, 7
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_screen-reader.scss", "SCSS", 0, 0, 0, 0, 22, 0, 9, 4, 35
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_size.scss", "SCSS", 0, 0, 0, 0, 5, 0, 1, 2, 8
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_table-row.scss", "SCSS", 0, 0, 0, 0, 29, 0, 5, 6, 40
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_text-emphasis.scss", "SCSS", 0, 0, 0, 0, 13, 0, 2, 3, 18
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_text-hide.scss", "SCSS", 0, 0, 0, 0, 8, 0, 2, 2, 12
